HPO编号	主分类(中文)	名称(英文)	定义(英文)	中文译名	中文定义
HP:0000021	泌尿生殖系统异常	Megacystis	Dilatation of the bladder postnatally.	巨膀胱症	出生后膀胱扩张。
HP:0000022	泌尿生殖系统异常	Abnormality of male internal genitalia	An abnormality of the `male internal genitalia` (FMA:45655).	男性内生殖器异常	男性内生殖器（FMA：45655）的异常。
HP:0000023	结缔组织异常,消化系统异常	Inguinal hernia	Protrusion of the contents of the abdominal cavity through the inguinal canal.	腹股沟疝	经由腹股沟的腹腔内容物的突起。
HP:0000024	泌尿生殖系统异常,免疫系统异常	Prostatitis	The presence of `inflammation` (MPATH:212) of the `prostate` (FMA:9600).	前列腺炎	前列腺（FMA：9600）出现炎症（MPATH：212）。
HP:0000025	泌尿生殖系统异常	Functional abnormality of male internal genitalia	#####	男性内生殖器功能异常	#####
HP:0000026	泌尿生殖系统异常,内分泌系统异常	Male hypogonadism	"Decreased functionality" (PATO:0001624) of the male gonad, i.e., of the "testis" (FMA:7210).	男性性腺功能减退症	男性性腺即睾丸功能减退。
HP:0000027	泌尿生殖系统异常	Azoospermia	Absence of any measurable level of sperm in his semen.	无精症	精液中检测不到精子。
HP:0000028	泌尿生殖系统异常	Cryptorchidism	Absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the testis.	隐睾	阴囊内一侧或双侧睾丸缺如，是由于睾丸未通过腹股沟管下降到阴囊。
HP:0000029	泌尿生殖系统异常	Testicular atrophy	Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.	睾丸萎缩	睾丸萎缩表现为体积减小和潜在的生育能力丧失。
HP:0000030	肿瘤,泌尿生殖系统异常	Testicular gonadoblastoma	The presence of a `gonadoblastoma` (MPATH:315) of the `testis` (FMA:7210).	睾丸性腺母细胞瘤	睾丸部位形成的性腺母细胞瘤。
HP:0000031	泌尿生殖系统异常,免疫系统异常	Epididymitis	The presence of `inflammation` (MPATH:212) of the `epididymis` (FMA:18255).	附睾炎	附睾发生的炎症 。
HP:0000032	泌尿生殖系统异常	Abnormality of male external genitalia	An abnormality of `male external genitalia` (FMA:45642).	男性外生殖器异常	男性外生殖器的异常。
HP:0000033	泌尿生殖系统异常	Ambiguous genitalia, male	`Ambiguous genitalia` (HP:0000062) in an individual with XY genetic gender.	男性外阴性别不明	遗传学性别为XY的个体，其外阴性别不明。
HP:0000034	泌尿生殖系统异常	Hydrocele testis	Accumulation of clear fluid in the  between the layers of membrane (tunica vaginalis) surrounding the testis.	睾丸鞘膜积液	睾丸鞘膜层之间积聚透明液体。
HP:0000035	泌尿生殖系统异常	Abnormality of the testis	An anomaly of the testicle (the male gonad).	睾丸异常	睾丸（男性性腺）的异常。
HP:0000036	泌尿生殖系统异常	Abnormality of the penis	#####	阴茎异常	#####
HP:0000037	泌尿生殖系统异常	Male pseudohermaphroditism	Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.	男性假两性畸形	两性畸形是指性腺的形态和外生殖器不吻合。男性假两性畸形的染色体核型为男性（XY），但外生殖器呈不完全男性化、模棱两可或完全女性化。如果有性腺，则是睾丸。
HP:0000039	泌尿生殖系统异常	Epispadias	Displacement of the urethral opening on the dorsal (superior) surface of the penis.	尿道上裂	尿道口开口异常，开口在阴茎背侧（上面）。
HP:0000040	泌尿生殖系统异常	Enlarged penis	#####	阴茎增大	#####
HP:0000041	泌尿生殖系统异常	Chordee	A condition in which the head of the penis curves downward.	阴茎下曲	阴茎头向下弯曲。
HP:0000042	泌尿生殖系统异常	Absent external genitalia	Lack of external genitalia in a male or female individual.	外生殖器缺如	男性或女性无外生殖器。
HP:0000044	泌尿生殖系统异常,内分泌系统异常	Hypogonadotrophic hypogonadism	Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).	低促性腺激素性性腺功能减退症	低促性腺激素性性腺功能减退症以性腺（男性的睾丸，女性的卵巢）功能降低为特征，是垂体促性腺激素缺乏所致，如卵泡刺激素（FSH）和促黄体生成激素（LH）。
HP:0000045	泌尿生殖系统异常	Abnormality of the scrotum	#####	阴囊异常	#####
HP:0000046	泌尿生殖系统异常	Scrotal hypoplasia	#####	阴囊发育不良	#####
HP:0000047	泌尿生殖系统异常	Hypospadias	Displacement of the urethral opening on the ventral (inferior) surface of the penis.	尿道下裂	尿道口开口位于阴茎的腹侧（下部）。
HP:0000048	泌尿生殖系统异常	Bifid scrotum	Separation of the two halves of the scrotum, whereby commonly the 2 halves of the scrotum meet above the penis.	阴囊对裂	阴囊分离成左右两部分，这两半阴囊通常在阴茎上部汇合。
HP:0000049	泌尿生殖系统异常	Shawl scrotum	A condition in which the upper scrotal skin rises over the base of the penis.	披肩状阴囊	阴囊上部皮肤上升至阴茎根部。
HP:0000050	泌尿生殖系统异常	Hypoplastic male external genitalia	Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).	男性外生殖器发育不良	男性外生殖器（包括阴茎、阴囊和尿道）全部或部分发育低下。
HP:0000051	泌尿生殖系统异常	Perineal hypospadias	Hypospadias with location of the urethral meatus in the perineal region.	会阴型尿道下裂	尿道口位于会阴部的尿道下裂。
HP:0000052	泌尿生殖系统异常	Urethral atresia, male	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.	男性尿道闭锁	一种先天性异常，男性的尿道开口闭锁或未发育形成开口。
HP:0000053	泌尿生殖系统异常	Macroorchidism	The presence of abnormally large testes.	巨睾	异常的大睾丸。
HP:0000054	泌尿生殖系统异常	Micropenis	Abnormally small `penis` (FMA:9707). At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.	小阴茎	异常小的阴茎。出生时，正常阴茎大约长3厘米（从耻骨结节到龟头顶端拉直了量得的长度），小于2.0-2.5厘米为小阴茎。
HP:0000055	泌尿生殖系统异常	Abnormality of female external genitalia	An abnormality of the `female external genitalia` (FMA:45649).	女性外生殖器异常	女性外生殖器的异常。
HP:0000056	泌尿生殖系统异常	Abnormality of the clitoris	An abnormality of the `clitoris` (FMA:9909).	阴蒂异常	阴蒂的异常。
HP:0000057		Clitoromegaly	`Increased size` (PATO:0000586) of the `clitoris` (FMA:9909).	阴蒂肥大	阴蒂体积增大。
HP:0000058	泌尿生殖系统异常	Abnormality of the labia	An anomaly of the labia, the externally visible portions of the vulva.	阴唇异常	阴唇的异常，阴蒂是女阴外部可见部分。
HP:0000059	泌尿生殖系统异常	Hypoplastic labia majora	Undergrowth of the outer labia.	大阴唇发育不良	大阴唇发育低下。
HP:0000060	泌尿生殖系统异常	Clitoral hypoplasia	Developmental hypoplasia of the `clitoris` (FMA:9909).	阴蒂发育不良	阴蒂的发育低下。
HP:0000061	泌尿生殖系统异常	Ambiguous genitalia, female	`Ambiguous genitalia` (HP:0000062) in an individual with XX genetic gender.	女性外阴性别不明	遗传学性别为XX个体的外阴性别不明。
HP:0000062	泌尿生殖系统异常	Ambiguous genitalia	A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.	外阴性别不明	根据生殖器外型无法确定是属于哪一种性别。外阴性别不明可以使用Prader计分来进行评估：Prader 0:正常女性外生殖器；Prader 1:女性外阴但阴蒂增大；Prader 2:阴蒂较大，阴唇部分融合，形成漏斗状阴道口；Prader 3:阴茎增大，阴唇完全融合形成尿生殖窦，有单一的尿道开口。Prader 4:阴囊完全融合，泌尿生殖口在阴茎的根部或阴茎上，类似尿道下裂；Prader 5:正常男性外生殖器。Prader 1-4 诊断为外阴性别不明。
HP:0000063	泌尿生殖系统异常	Fused labia minora	Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.	小阴唇融合	由于阴唇粘连造成小阴唇融合，导致阴道梗阻。
HP:0000064	泌尿生殖系统异常	Hypoplastic labia minora	#####	小阴唇发育不良	#####
HP:0000065	泌尿生殖系统异常	Labial hypertrophy	#####	阴唇肥厚	#####
HP:0000066	泌尿生殖系统异常	Labial hypoplasia	#####	阴唇发育不良	#####
HP:0000067	泌尿生殖系统异常	Urethral atresia, female	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.	女性尿道闭锁	一种先天性异常，女性的尿道开口闭锁或未发育形成开口。
HP:0000068	泌尿生殖系统异常	Urethral atresia	Congenital anomaly characterized by closure or failure to develop an opening in the urethra.	尿道闭锁	一种先天性异常，尿道开口闭锁或未发育形成开口。
HP:0000069	泌尿生殖系统异常	Abnormality of the ureter	An abnormality of the `ureter` (FMA:9704).	输尿管异常	输尿管的异常。
HP:0000070	泌尿生殖系统异常	Ureterocele	A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.	输尿管囊肿	输尿管远端段先天性囊状扩张。
HP:0000071	泌尿生殖系统异常	Ureteral stenosis	The presence of a stenotic, i.e., `constricted` (PATO:0001847) `ureter` (FMA:9704).	输尿管狭窄	输尿管狭窄，即输尿管缢缩。
HP:0000072	泌尿生殖系统异常	Hydroureter	The distention of the `ureter` (FMA:9704) with urine.	输尿管积水	输尿管内潴留尿液导致其扩张。
HP:0000073	泌尿生殖系统异常	Ureteral duplication	A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder.	输尿管重复	一种发育异常，一侧肾脏通过两根输尿管（而不是一根）连接到膀胱。
HP:0000074	泌尿生殖系统异常	Ureteropelvic junction obstruction	Blockage of urine flow from the renal pelvis to the proximal ureter.	肾盂输尿管连接部梗阻	在肾盂到近端输尿管尿处流受到阻断。
HP:0000075	泌尿生殖系统异常	Renal duplication	A congenital anomaly of the urinary tract, in which the `kidney` (FMA:7203) is duplicated and is drained via two separate renal pelves and ureters.	肾重复	先天性泌尿道异常，肾发生重复并分别经由两个独立的肾盂和输尿管下排。
HP:0000076	泌尿生殖系统异常	Vesicoureteral reflux	Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.	膀胱输尿管返流	尿液从膀胱异常（反向）流动进入输尿管或达到肾，与输尿管膀胱瓣膜结构异常有关，或存在其他原因。
HP:0000077	泌尿生殖系统异常	Abnormality of the kidney	An abnormality of the `kidney` (FMA:7203).	肾脏异常	肾脏的异常。
HP:0000078	泌尿生殖系统异常	Abnormality of the genital system	An abnormality of the `genital system` (FMA:7160).	生殖系统异常	生殖系统的异常。
HP:0000079	泌尿生殖系统异常	Abnormality of the urinary system	An abnormality of the `urinary system` (FMA:7159).	泌尿系统异常	泌尿系统的异常。
HP:0000080	泌尿生殖系统异常	Abnormality of genital physiology	An `abnormal` (PATO:0000460) `functionality` (PATO:0001509) of the `genital system` (FMA:7160).	生殖生理异常	生殖系统发生的功能异常。
HP:0000081	泌尿生殖系统异常	Duplicated collecting system	A duplication of the collecting system of the kidney.	集合管系统重复	肾集合管系统的重复。
HP:0000083	泌尿生殖系统异常	Renal insufficiency	A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.	肾功能不全	肾功能的降低，肾功能包括尿液的浓缩、廓清废物、维持电解质平衡、维持机体内血压平衡和钙代谢。
HP:0000085	泌尿生殖系统异常	Horseshoe kidney	A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.	马蹄肾	由有肾功能的肾实质或纤维组织将左右肾在中线峡部连接起来，呈现马蹄状。
HP:0000086	泌尿生殖系统异常	Ectopic kidney	A developmental defect in which a kidney is located in an abnormal anatomic position.	异位肾	由发育异常导致肾脏不在正常解剖位置。
HP:0000089	泌尿生殖系统异常	Renal hypoplasia	`Hypoplasia` (MPATH:133) of the `kidney` (FMA:7203).	肾发育不全	肾发育不良。
HP:0000090	泌尿生殖系统异常	Nephronophthisis	Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.	肾消耗病	肾皮髓质交界处存在囊肿，伴肾小管间质性纤维化。
HP:0000091	泌尿生殖系统异常	Abnormality of the renal tubule	An abnormality of the `renal tubules` (FMA:15627).	肾小管异常	肾小管的异常。
HP:0000092	泌尿生殖系统异常	Tubular atrophy	The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.	肾小管萎缩	肾小管形成增厚的冗余基底膜，或与周围未萎缩的小管相比直径减小超过一半。
HP:0000093	泌尿生殖系统异常,代谢紊乱/稳态失衡	Proteinuria	Increased levels of protein in the urine.	蛋白尿	尿液中蛋白质水平增加。
HP:0000095	泌尿生殖系统异常	Abnormality of the glomerulus	A structural anomaly of the `glomerulus` (FMA:15624).	肾小球异常	肾小球的结构异常。
HP:0000096	泌尿生殖系统异常	Glomerulosclerosis	Accumulation of scar tissue within the glomerulus.	肾小球硬化	肾小球内疤痕组织占位。
HP:0000097	泌尿生殖系统异常	Focal segmental glomerulosclerosis	Segmental accumulation of scar tissue in individual (but not all) glomeruli.	局灶节段性肾小球硬化	在部分（而不是全部）肾小球存在节段性瘢痕组织增加。
HP:0000098	生长异常	Tall stature	A height above that which is expected according to age and gender norms.	高身材	身高高于该年龄性别预期身高的正常范围。
HP:0000099	泌尿生殖系统异常,免疫系统异常	Glomerulonephritis	Inflammation of the renal glomeruli.	肾小球肾炎	肾小球的炎症。
HP:0000100	泌尿生殖系统异常	Nephrotic syndrome	Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia.	肾病综合征	肾病综合征包含一系列的异常，由肾小球功能障碍所致，伴肾小球毛细血管壁通透性增加而产生明显的蛋白尿。肾病综合征是指严重的肾性蛋白质损失，致蛋白尿、低白蛋白血症、浮肿和高血脂症等一系列临床表现。
HP:0000103	泌尿生殖系统异常	Polyuria	An `increased rate` (PATO:0000912) of urine production.	多尿	尿液生成率增加。
HP:0000104	泌尿生殖系统异常	Renal agenesis	`Agenesis` (MPATH:57), that is, failure of the `kidney` (FMA:7203) to develop during embryogenesis and development.	肾缺如	肾缺如是指在胚胎形成和发育过程中没有肾脏发育。
HP:0000105	泌尿生殖系统异常	Enlarged kidneys	An abnormal increase in the size of the kidney.	肾脏增大	肾脏的大小异常增加。
HP:0000107	泌尿生殖系统异常	Renal cyst	A fluid filled sac in the kidney.	肾囊肿	肾脏中有充满液体的囊。
HP:0000108	泌尿生殖系统异常	Renal corticomedullary cysts	The presence of multiple cysts at the border between the renal cortex and medulla.	肾皮髓质交界处囊肿	肾皮质和髓质交界处多发性囊肿。
HP:0000110	泌尿生殖系统异常	Renal dysplasia	The presence of `developmental dysplasia` (MPATH:64) of the `kidney` (FMA:7203).	肾发育不良	肾脏发育不良。
HP:0000111	泌尿生殖系统异常	Renal juxtaglomerular cell hypertrophy/hyperplasia	Increased number and size of the juxtaglomerular cells.	肾小球球旁细胞肥大/增生	肾小球球旁细胞数量增加和体积增大。
HP:0000112	泌尿生殖系统异常	Nephropathy	A nonspecific term referring to disease or damage of the kidneys.	肾病	非特异性术语​​，通指肾脏的疾病或损伤。
HP:0000113	泌尿生殖系统异常	Polycystic kidney dysplasia	The presence of multiple cysts in both kidneys.	多囊性肾发育不良	双侧肾脏多发囊肿。
HP:0000114	泌尿生殖系统异常	Proximal tubulopathy	Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle.	近端肾小管病	近端肾小管功能障碍，近端肾小管是从肾小囊（鲍曼囊）通往细尿管袢（亨利袢）的肾单位管道系统的一部分。
HP:0000117	泌尿生殖系统异常,代谢紊乱/稳态失衡	Renal phosphate wasting	High urine phosphate in the presence of hypophosphatemia.	肾源性磷酸盐流失	低磷血症时尿液中出现高磷酸盐。
HP:0000119	泌尿生殖系统异常	Abnormality of the genitourinary system	The presence of any abnormality of the `genitourinary system` (FMA:280610).	泌尿生殖系统异常	泌尿生殖系统的异常。
HP:0000121	泌尿生殖系统异常	Nephrocalcinosis	Nephrocalcinosis is the deposition of calcium salts in renal parenchyma.	肾钙质沉着症	肾钙质沉着症指是钙盐在肾实质的沉积。
HP:0000122	泌尿生殖系统异常	Unilateral renal agenesis	A `unilateral` (PATO:0000634) form of `agenesis` (MPATH:57) of the `kidney` (FMA:7203).	单侧肾缺如	单侧型肾缺如。
HP:0000123	泌尿生殖系统异常,免疫系统异常	Nephritis	The presence of `inflammation` (MPATH:212) affecting the `kidney` (FMA:7203).	肾炎	肾脏出现炎症反应。
HP:0000124	泌尿生殖系统异常	Renal tubular dysfunction	#####	肾小管功能障碍	#####
HP:0000125	泌尿生殖系统异常	Pelvic kidney	A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis.	盆腔肾	一种肾发育缺陷，肾脏解剖位置异常，位于骨盆内。
HP:0000126	泌尿生殖系统异常	Hydronephrosis	Severe distention of the kidney with dilation of the renal pelvis and calices.	肾积水	肾脏严重扩张伴肾盂和肾盏扩张。
HP:0000127	泌尿生殖系统异常,代谢紊乱/稳态失衡	Renal salt wasting	A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s).	肾源性盐流失	在血清中电解质浓度低时，尿液中出现一种或多种高浓度的电解质。
HP:0000128	泌尿生殖系统异常,代谢紊乱/稳态失衡	Renal potassium wasting	High urine potassium in the presence of hypokalemia.	肾源性钾流失	低钾血症时，尿液中出现高浓度钾。
HP:0000130	泌尿生殖系统异常	Abnormality of the uterus	An abnormality of the `uterus` (FMA:17558).	子宫异常	子宫的异常。
HP:0000131	肿瘤,泌尿生殖系统异常	Uterine leiomyoma	The presence of a `leiomyoma` (MPATH:425) of the `uterus` (FMA:17558).	子宫肌瘤	子宫部位发生的平滑肌瘤。
HP:0000132	泌尿生殖系统异常,内分泌系统异常,血液和造血组织异常	Menorrhagia	Abnormally heavy and prolonged menstrual period.	月经过多症	月经异常增多和经期延长。
HP:0000133	泌尿生殖系统异常	Gonadal dysgenesis	#####	性腺发育不全	#####
HP:0000134	泌尿生殖系统异常,内分泌系统异常	Female hypogonadism	"Decreased functionality" (PATO:0001624) of the female gonad, i.e., of the "ovary" (FMA:7209).	女性性腺功能减退症	女性的性腺即卵巢功能减退。
HP:0000135	泌尿生殖系统异常,内分泌系统异常	Hypogonadism	A "decreased functionality" (PATO:0001624) of the "gonad" (FMA:18250).	性腺功能减退症	性腺的功能下降。
HP:0000136	泌尿生殖系统异常	Bifid uterus	The presence of a `bifid` (PATO:0001572) `uterus` (FMA:17558).	双角子宫	子宫分裂成两半。
HP:0000137	泌尿生殖系统异常	Abnormality of the ovary	An abnormality of the `ovary` (FMA:7209).	卵巢异常	卵巢的异常。
HP:0000138	泌尿生殖系统异常	Ovarian cyst	The presence of one or more `cysts` (MPATH:62) of the `ovary` (FMA:7209).	卵巢囊肿	卵巢有一个或多个囊肿。
HP:0000139	泌尿生殖系统异常,结缔组织异常	Uterine prolapse	The presence of `prolapse` (MPATH:626) of the `uterus` (FMA:17558).	子宫脱垂	子宫(FMA:17558)发生脱垂(MPATH:626)。
HP:0000140	泌尿生殖系统异常,内分泌系统异常	Abnormality of the menstrual cycle	An abnormality of the "ovulation cycle" (GO:0042698).	月经周期异常	排卵周期的异常。
HP:0000141	泌尿生殖系统异常,内分泌系统异常	Amenorrhea	#####	闭经	#####
HP:0000142	泌尿生殖系统异常	Abnormality of the vagina	An abnormality of the `vagina` (FMA:19949).	阴道异常	阴道的异常。
HP:0000143	泌尿生殖系统异常,消化系统异常	Rectovaginal fistula	The presence of a `fistula` (MPATH:70) between the `vagina` (FMA:19949) and the `rectum` (FMA:14544).	直肠阴道瘘	直肠和阴道之间的瘘管。
HP:0000144	泌尿生殖系统异常	Decreased fertility	#####	生育能力下降	#####
HP:0000145	泌尿生殖系统异常	Transverse vaginal septum	#####	阴道横膈	#####
HP:0000147	泌尿生殖系统异常	Polycystic ovaries	#####	多囊卵巢	#####
HP:0000148	泌尿生殖系统异常	Vaginal atresia	Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion.	阴道闭锁	阴道先天闭塞或阴道壁粘连造成闭锁。
HP:0000149	肿瘤,泌尿生殖系统异常	Ovarian gonadoblastoma	The presence of a `gonadoblastoma` (MPATH:315) of the `ovary` (FMA:7209).	卵巢性腺母细胞瘤	卵巢中形成性腺母细胞瘤。
HP:0000150	肿瘤,泌尿生殖系统异常	Gonadoblastoma	The presence of a `gonadoblastoma` (MPATH:315), a `neoplasm` (MPATH:218) of a `gonad` (FMA:18250) that consists of aggregates of germ cells and sex cord elements.	性腺母细胞瘤	性腺内发生的母细胞瘤或肿瘤。这里定义的性腺由生殖细胞和生殖索成分组成。
HP:0000151	泌尿生殖系统异常	aplasia of the uterus	`Aplasia` (MPATH:58) of the `uterus` (FMA:17558).	子宫发育不全	子宫发育不全。
HP:0000152	头部和颈部的异常	Abnormality of head and neck	An abnormality of `head and neck` (FMA:280881).	头部和颈部的异常	头部和颈部的异常。
HP:0000153	头部和颈部的异常	Abnormality of the mouth	An abnormality of the `mouth` (FMA:49184).	嘴部异常	嘴部的异常。
HP:0000154	头部和颈部的异常	Wide mouth	Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective).	宽嘴	两侧嘴角之间的距离大于平均值超过2个标准偏差。或嘴巴开口宽度显得增大（主观）。
HP:0000155	头部和颈部的异常	Oral ulcer	Erosion of the mucous membrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue.	口腔溃疡	口腔粘膜表面局部开口受侵蚀，导致炎性坏死组织脱落。
HP:0000157	头部和颈部的异常	Abnormality of the tongue	Any abnormality of the `tongue` (FMA:54640).	舌异常	舌头的任何异常。
HP:0000158	肌肉组织异常,头部和颈部的异常	Macroglossia	Increased length and width of the tongue.	巨舌症	舌头的长度和宽度增加。
HP:0000159	头部和颈部的异常	Abnormality of the lip	An abnormality of the `lip` (FMA:59815).	唇异常	唇部的异常。
HP:0000160	头部和颈部的异常	Narrow mouth	Distance between the commissures of the `mouth` (FMA:49184) more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective).	嘴巴狭窄	嘴巴的连合间距离低于平均值超过2个标准偏差。或者嘴巴开口的距离显得减小（主观）。
HP:0000161	头部和颈部的异常	Median cleft lip	A type of `cleft lip` (HP:0000204) presenting as a midline (median) gap in the upper lip.	正中唇裂	一种表现为有上唇中线（中）沟痕的唇裂。
HP:0000162	头部和颈部的异常	Glossoptosis	Posterior displacement of the tongue into the pharynx, i.e., a `tongue` (FMA:54640) that is `mislocalised posteriorly` (PATO:0001922).	舌后坠	舌头向后位移到咽部，即舌头向后错位。
HP:0000163	头部和颈部的异常	Abnormality of the oral cavity	Abnormality of the `oral cavity` (FMA:20292), i.e., the opening or hollow part of the mouth.	口腔异常	口腔的异常，即开口或嘴中空的部分。
HP:0000164	头部和颈部的异常	Abnormality of the teeth	Any abnormality of the `teeth` (FMA:12516).	牙齿异常	牙齿的任何异常。
HP:0000166	头部和颈部的异常,免疫系统异常	Severe periodontitis	A `severe` (PATO:0000396) form of `periodontitis` (HP:0000165).	重度牙周炎	程度严重的牙周炎。
HP:0000168	头部和颈部的异常	Abnormality of the gingiva	Any abnormality of the `gingiva` (FMA:59762) (also known as gums).	牙龈异常	牙龈的任何异常。
